"ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
"Charger Voltage","192.168.12.73",3,1095,2,"'00000000",0
"Charger Current","192.168.12.73",3,1097,2,"'00000000",0
"Solar Voltage","192.168.12.73",3,1099,2,"'00000000",0
"Solar Current","192.168.12.73",3,1101,2,"'00000000",0
"Controller Status","192.168.12.73",3,1103,2,"'00000000",0
"Tracking Status","192.168.12.73",3,1105,1,"'0000",0
"Current Angle","192.168.12.73",3,1106,2,"'00000000",0
"Requested Angle","192.168.12.73",3,1108,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",3,1110,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",3,1112,2,"'00000000",0
"Wind Speed","192.168.12.73",3,1114,2,"'00000000",0
"Wind Direction","192.168.12.73",3,1116,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",3,1118,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",3,1120,2,"'00000000",0
"Snow Temp","192.168.12.73",3,1122,2,"'00000000",0
"Snow Distance","192.168.12.73",3,1124,2,"'00000000",0
"Snow Depth","192.168.12.73",3,1126,2,"'00000000",0
"Row Locked","192.168.12.73",3,1128,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 3 | DeviceType: Unknown ======================","","","","","",""
"Device Type","192.168.12.73",3,1536,8,"'00000000000000000000000000000000",""
"Last Reported","192.168.12.73",3,1544,4,"'0000000000000000","0"
"Model Number","192.168.12.73",3,1548,8,"'00000000000000000000000000000000",""
"HW Rev","192.168.12.73",3,1556,8,"'4E6F6E65000000000000000000000000","None"
"FW Rev","192.168.12.73",3,1564,8,"'00000000000000000000000000000000",""
"Uptime","192.168.12.73",3,1572,2,"'00000000",0
"SNAP Addr","192.168.12.73",3,1574,2,"'00000000","0x00000000"
"RSSI","192.168.12.73",3,1576,1,"'0000",0
"Has WX Sensor","192.168.12.73",3,1577,1,"'0000",0
"Has Tracker HW","192.168.12.73",3,1578,1,"'0000",0
"Location Text","192.168.12.73",3,1579,16,"'0000000000000000000000000000000000000000000000000000000000000000",""
"Latitude","192.168.12.73",3,1595,2,"'00000000",0
"Longitude","192.168.12.73",3,1597,2,"'00000000",0
"Config Flags","192.168.12.73",3,1599,2,"'00000000",0
"Battery Voltage","192.168.12.73",3,1601,2,"'00000000",0
"Battery Current","192.168.12.73",3,1603,2,"'00000000",0
"Battery Charged","192.168.12.73",3,1605,1,"'0000",0
"Battery Health","192.168.12.73",3,1606,1,"'0000",0
"Charger Voltage","192.168.12.73",3,1607,2,"'00000000",0
"Charger Current","192.168.12.73",3,1609,2,"'00000000",0
"Solar Voltage","192.168.12.73",3,1611,2,"'00000000",0
"Solar Current","192.168.12.73",3,1613,2,"'00000000",0
"Controller Status","192.168.12.73",3,1615,2,"'00000000",0
"Tracking Status","192.168.12.73",3,1617,1,"'0000",0
"Current Angle","192.168.12.73",3,1618,2,"'00000000",0
"Requested Angle","192.168.12.73",3,1620,2,"'00000000",0
"Motor Power (Prev Hr)","192.168.12.73",3,1622,2,"'00000000",0
"Angular Error (Prev Hr)","192.168.12.73",3,1624,2,"'00000000",0
"Wind Speed","192.168.12.73",3,1626,2,"'00000000",0
"Wind Direction","192.168.12.73",3,1628,2,"'00000000",0
"Avg Wind Speed","192.168.12.73",3,1630,2,"'00000000",0
"Peak Wind Speed","192.168.12.73",3,1632,2,"'00000000",0
"Snow Temp","192.168.12.73",3,1634,2,"'00000000",0
"Snow Distance","192.168.12.73",3,1636,2,"'00000000",0
"Snow Depth","192.168.12.73",3,1638,2,"'00000000",0
"Row Locked","192.168.12.73",3,1640,1,"'0000",0
"====================================================================================================","","","","","",""
"","","","","","",""
"======================Position: 4 | DeviceType: Unknown ======================","","","","","",""
