"TTID","ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
3,"Requested Angle","192.168.12.73",1,1108,2,"'00000000",0
3,"Motor Power (Prev Hr)","192.168.12.73",1,1110,2,"'00000000",0
3,"Angular Error (Prev Hr)","192.168.12.73",1,1112,2,"'00000000",0
3,"Wind Speed","192.168.12.73",1,1114,2,"'00000000",0
3,"Wind Direction","192.168.12.73",1,1116,2,"'00000000",0
3,"Avg Wind Speed","192.168.12.73",1,1118,2,"'00000000",0
3,"Peak Wind Speed","192.168.12.73",1,1120,2,"'00000000",0
3,"Snow Temp","192.168.12.73",1,1122,2,"'00000000",0
3,"Snow Distance","192.168.12.73",1,1124,2,"'00000000",0
3,"Snow Depth","192.168.12.73",1,1126,2,"'00000000",0
3,"Row Locked","192.168.12.73",1,1128,1,"'0000",0
575,"Device Type","192.168.12.73",6,37888,8,"'00",""
575,"Last Reported","192.168.12.73",6,37896,4,"'0000000000000000","0"
575,"Model Number","192.168.12.73",6,37900,8,"'00",""
575,"HW Rev","192.168.12.73",6,37908,8,"'4E6F6E65000000000000000000000000","None"
575,"FW Rev","192.168.12.73",6,37916,8,"'00",""
575,"Uptime","192.168.12.73",6,37924,2,"'00000000",0
575,"SNAP Addr","192.168.12.73",6,37926,2,"'00","0x00"
575,"RSSI","192.168.12.73",6,37928,1,"'0000",0
575,"Has WX Sensor","192.168.12.73",6,37929,1,"'0000",0
575,"Has Tracker HW","192.168.12.73",6,37930,1,"'0000",0
575,"Location Text","192.168.12.73",6,37931,16,"'00",""
575,"Latitude","192.168.12.73",6,37947,2,"'00000000",0
575,"Longitude","192.168.12.73",6,37949,2,"'00000000",0
575,"Config Flags","192.168.12.73",6,37951,2,"'00000000",0
575,"Battery Voltage","192.168.12.73",6,37953,2,"'00000000",0
575,"Battery Current","192.168.12.73",6,37955,2,"'00000000",0
575,"Battery Charged","192.168.12.73",6,37957,1,"'0000",0
575,"Battery Health","192.168.12.73",6,37958,1,"'0000",0
575,"Charger Voltage","192.168.12.73",6,37959,2,"'00000000",0
575,"Charger Current","192.168.12.73",6,37961,2,"'00000000",0
575,"Solar Voltage","192.168.12.73",6,37963,2,"'00000000",0
575,"Solar Current","192.168.12.73",6,37965,2,"'00000000",0
575,"Controller Status","192.168.12.73",6,37967,2,"'00000000",0
575,"Tracking Status","192.168.12.73",6,37969,1,"'0000",0
575,"Current Angle","192.168.12.73",6,37970,2,"'00000000",0
575,"Requested Angle","192.168.12.73",6,37972,2,"'00000000",0
575,"Motor Power (Prev Hr)","192.168.12.73",6,37974,2,"'00000000",0
575,"Angular Error (Prev Hr)","192.168.12.73",6,37976,2,"'00000000",0
575,"Wind Speed","192.168.12.73",6,37978,2,"'00000000",0
575,"Wind Direction","192.168.12.73",6,37980,2,"'00000000",0
575,"Avg Wind Speed","192.168.12.73",6,37982,2,"'00000000",0
575,"Peak Wind Speed","192.168.12.73",6,37984,2,"'00000000",0
575,"Snow Temp","192.168.12.73",6,37986,2,"'00000000",0
575,"Snow Distance","192.168.12.73",6,37988,2,"'00000000",0
575,"Snow Depth","192.168.12.73",6,37990,2,"'00000000",0
575,"Row Locked","192.168.12.73",6,37992,1,"'0000",0
576,"Device Type","192.168.12.73",6,38400,8,"'547261636B6572000000000000000000","Tracker"
576,"Last Reported","192.168.12.73",6,38408,4,"'00000000689C92F3","1755091699"
576,"Model Number","192.168.12.73",6,38412,8,"'5454432D330000000000000000000000","TTC-3"
576,"HW Rev","192.168.12.73",6,38420,8,"'33000000000000000000000000000000","3"
576,"FW Rev","192.168.12.73",6,38428,8,"'382E3400000000000000000000000000","8.4"
576,"Uptime","192.168.12.73",6,38436,2,"'000946B8",607928
