"TTID","ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
3,"Solar Voltage","192.168.12.73",101,1099,2,"'00000000",0
3,"Solar Current","192.168.12.73",101,1101,2,"'00000000",0
3,"Controller Status","192.168.12.73",101,1103,2,"'00000000",0
3,"Tracking Status","192.168.12.73",101,1105,1,"'0000",0
3,"Current Angle","192.168.12.73",101,1106,2,"'00000000",0
3,"Requested Angle","192.168.12.73",101,1108,2,"'00000000",0
3,"Motor Power (Prev Hr)","192.168.12.73",101,1110,2,"'00000000",0
3,"Angular Error (Prev Hr)","192.168.12.73",101,1112,2,"'00000000",0
3,"Wind Speed","192.168.12.73",101,1114,2,"'00000000",0
3,"Wind Direction","192.168.12.73",101,1116,2,"'00000000",0
3,"Avg Wind Speed","192.168.12.73",101,1118,2,"'00000000",0
3,"Peak Wind Speed","192.168.12.73",101,1120,2,"'00000000",0
3,"Snow Temp","192.168.12.73",101,1122,2,"'00000000",0
3,"Snow Distance","192.168.12.73",101,1124,2,"'00000000",0
3,"Snow Depth","192.168.12.73",101,1126,2,"'00000000",0
3,"Row Locked","192.168.12.73",101,1128,1,"'0000",0
575,"Device Type","192.168.12.73",101,293888,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293888",""
575,"Last Reported","192.168.12.73",101,293896,4,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293896",""
575,"Model Number","192.168.12.73",101,293900,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293900",""
575,"HW Rev","192.168.12.73",101,293908,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293908",""
575,"FW Rev","192.168.12.73",101,293916,8,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293916",""
575,"Uptime","192.168.12.73",101,293924,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293924",""
575,"SNAP Addr","192.168.12.73",101,293926,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293926",""
575,"RSSI","192.168.12.73",101,293928,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293928",""
575,"Has WX Sensor","192.168.12.73",101,293929,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293929",""
575,"Has Tracker HW","192.168.12.73",101,293930,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293930",""
575,"Location Text","192.168.12.73",101,293931,16,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293931",""
575,"Latitude","192.168.12.73",101,293947,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293947",""
575,"Longitude","192.168.12.73",101,293949,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293949",""
575,"Config Flags","192.168.12.73",101,293951,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293951",""
575,"Battery Voltage","192.168.12.73",101,293953,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293953",""
575,"Battery Current","192.168.12.73",101,293955,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293955",""
575,"Battery Charged","192.168.12.73",101,293957,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293957",""
575,"Battery Health","192.168.12.73",101,293958,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293958",""
575,"Charger Voltage","192.168.12.73",101,293959,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293959",""
575,"Charger Current","192.168.12.73",101,293961,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293961",""
575,"Solar Voltage","192.168.12.73",101,293963,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293963",""
575,"Solar Current","192.168.12.73",101,293965,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293965",""
575,"Controller Status","192.168.12.73",101,293967,2,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293967",""
575,"Tracking Status","192.168.12.73",101,293969,1,"Error: The value of ""value"" is out of range. It must be >= 0 and <= 65535. Received 293969",""
